estate,item,family,country,region,human,model,signed_err_pp,modal_agree,n_survey,se95_pp,within_noise,noise_dist,abstained,mrsp_mae_pp,naive_mae_pp,region_mae_pp
wvs_heldout,Q11,other,AD,Western Europe,0.3008,0.2378,-6.3,1,1004,2.84,0,2.22,0,8.09,8.77,8.31
wvs_heldout,Q11,other,AM,Central Asia,0.0812,0.1862,10.5,1,1218,1.53,0,6.84,0,8.09,8.77,8.31
wvs_heldout,Q11,other,AR,Latin America,0.2046,0.2006,-0.4,1,1003,2.5,1,0.16,0,8.09,8.77,8.31
wvs_heldout,Q11,other,AU,Oceania,0.3343,0.3113,-2.3,1,1813,2.17,0,1.06,0,8.09,8.77,8.31
wvs_heldout,Q11,other,BD,South Asia,0.1,0.128,2.8,1,1200,1.7,0,1.65,0,8.09,8.77,8.31
wvs_heldout,Q11,other,BO,Latin America,0.1457,0.2167,7.1,1,2059,1.52,0,4.66,0,8.09,8.77,8.31
wvs_heldout,Q11,other,BR,Latin America,0.1499,0.1969,4.7,1,1762,1.67,0,2.82,0,8.09,8.77,8.31
wvs_heldout,Q11,other,CA,North America,0.2833,0.3603,7.7,1,4018,1.39,0,5.53,0,8.09,8.77,8.31
wvs_heldout,Q11,other,CL,Latin America,0.2276,0.2786,5.1,1,1000,2.6,0,1.96,0,8.09,8.77,8.31
wvs_heldout,Q11,other,CN,East Asia,0.2138,0.1758,-3.8,1,3022,1.46,0,2.6,0,8.09,8.77,8.31
wvs_heldout,Q11,other,CO,Latin America,0.1822,0.1652,-1.7,1,1520,1.94,1,0.88,0,8.09,8.77,8.31
wvs_heldout,Q11,other,CY,Western Europe,0.1342,0.1922,5.8,1,628,2.67,0,2.18,0,8.09,8.77,8.31
wvs_heldout,Q11,other,CZ,Eastern Europe,0.1445,0.1755,3.1,1,1194,1.99,0,1.55,0,8.09,8.77,8.31
wvs_heldout,Q11,other,DE,Western Europe,0.2308,0.4328,20.2,1,1525,2.11,0,9.55,0,8.09,8.77,8.31
wvs_heldout,Q11,other,EC,Latin America,0.1658,0.1758,1.0,1,1200,2.1,1,0.48,0,8.09,8.77,8.31
wvs_heldout,Q11,other,EG,Middle East/N. Africa,0.0584,0.1434,8.5,1,1199,1.33,0,6.4,0,8.09,8.77,8.31
wvs_heldout,Q11,other,ET,Sub-Saharan Africa,0.1659,0.1319,-3.4,1,1230,2.08,0,1.64,0,8.09,8.77,8.31
wvs_heldout,Q11,other,GB,Western Europe,0.3429,0.2659,-7.7,1,439,4.44,0,1.73,0,8.09,8.77,8.31
wvs_heldout,Q11,other,GR,Western Europe,0.159,0.164,0.5,1,1197,2.07,1,0.24,0,8.09,8.77,8.31
wvs_heldout,Q11,other,GT,Latin America,0.5454,0.0974,-44.8,0,871,3.31,0,13.55,0,8.09,8.77,8.31
wvs_heldout,Q11,other,HK,East Asia,0.1708,0.1508,-2.0,1,2054,1.63,0,1.23,0,8.09,8.77,8.31
wvs_heldout,Q11,other,ID,Southeast Asia,0.0719,0.1239,5.2,1,3200,0.9,0,5.81,0,8.09,8.77,8.31
wvs_heldout,Q11,other,IN,South Asia,0.2204,0.2254,0.5,1,1692,1.98,1,0.25,0,8.09,8.77,8.31
wvs_heldout,Q11,other,IQ,Middle East/N. Africa,0.1275,0.1485,2.1,1,1200,1.89,0,1.11,0,8.09,8.77,8.31
wvs_heldout,Q11,other,IR,Middle East/N. Africa,0.2715,0.2225,-4.9,1,1499,2.25,0,2.18,0,8.09,8.77,8.31
wvs_heldout,Q11,other,JO,Middle East/N. Africa,0.1638,0.1158,-4.8,1,1203,2.09,0,2.3,0,8.09,8.77,8.31
wvs_heldout,Q11,other,JP,East Asia,0.4028,0.4358,3.3,1,1353,2.61,0,1.26,0,8.09,8.77,8.31
