country,n_cells,majority_agree_pct,within_noise_pct,median_noise_dist,mae_pp,signed_err_pp,noise_hist,n_with_noise
AD,203,85.2,17.2,3.49,8.93,1.52,"{""<=1"": 17.2, ""1-2"": 14.8, ""2-4"": 25.6, "">4"": 42.4}",203
AM,203,86.7,11.8,4.38,10.55,1.6,"{""<=1"": 11.8, ""1-2"": 10.8, ""2-4"": 25.1, "">4"": 52.2}",203
AR,427,82.9,21.2,2.64,9.82,2.39,"{""<=1"": 21.2, ""1-2"": 17.7, ""2-4"": 29.1, "">4"": 32.0}",203
AU,358,88.8,20.9,2.24,6.26,-0.7,"{""<=1"": 20.9, ""1-2"": 22.9, ""2-4"": 32.3, "">4"": 23.9}",201
BD,263,85.6,11.3,4.79,11.91,-3.48,"{""<=1"": 11.3, ""1-2"": 11.3, ""2-4"": 17.7, "">4"": 59.6}",203
BE,44,81.8,,,9.58,3.5,null,0
BG,109,78.9,,,12.47,1.29,null,0
BO,238,84.9,9.9,3.82,9.13,3.32,"{""<=1"": 9.9, ""1-2"": 12.8, ""2-4"": 30.5, "">4"": 46.8}",203
BR,389,83.5,15.3,4.33,9.81,-0.7,"{""<=1"": 15.8, ""1-2"": 12.8, ""2-4"": 19.7, "">4"": 51.7}",203
CA,412,90.3,11.8,4.31,6.96,-0.79,"{""<=1"": 11.8, ""1-2"": 12.8, ""2-4"": 22.2, "">4"": 53.2}",203
CL,339,83.8,15.8,2.91,9.36,-0.56,"{""<=1"": 15.8, ""1-2"": 17.2, ""2-4"": 31.0, "">4"": 36.0}",203
CN,261,82.0,7.4,5.0,12.54,4.18,"{""<=1"": 7.4, ""1-2"": 8.0, ""2-4"": 25.6, "">4"": 59.1}",176
CO,271,88.2,14.3,3.76,8.5,1.07,"{""<=1"": 14.3, ""1-2"": 15.3, ""2-4"": 23.2, "">4"": 47.3}",203
CY,203,89.2,26.1,2.16,7.02,-2.82,"{""<=1"": 26.1, ""1-2"": 22.2, ""2-4"": 29.6, "">4"": 22.2}",203
CZ,329,81.5,13.3,3.45,11.21,-0.17,"{""<=1"": 13.8, ""1-2"": 13.8, ""2-4"": 28.1, "">4"": 44.3}",203
DE,495,85.9,12.3,3.99,9.6,0.54,"{""<=1"": 12.3, ""1-2"": 15.8, ""2-4"": 22.2, "">4"": 49.8}",203
EC,203,88.7,22.7,2.69,7.88,1.88,"{""<=1"": 22.7, ""1-2"": 17.7, ""2-4"": 27.6, "">4"": 32.0}",203
EG,337,79.8,9.0,5.58,12.65,6.26,"{""<=1"": 9.0, ""1-2"": 12.4, ""2-4"": 12.4, "">4"": 66.1}",177
ES,256,83.6,,,8.56,-0.52,null,0
ET,226,81.9,15.8,3.47,11.46,-0.83,"{""<=1"": 15.8, ""1-2"": 16.3, ""2-4"": 24.1, "">4"": 43.8}",203
FR,285,84.2,,,9.33,-0.1,null,0
GB,472,88.6,28.4,2.04,7.38,-0.41,"{""<=1"": 28.9, ""1-2"": 20.5, ""2-4"": 26.8, "">4"": 23.7}",190
GH,176,88.1,,,9.03,-1.24,null,0
GR,357,84.3,11.3,3.85,11.01,1.53,"{""<=1"": 11.3, ""1-2"": 15.3, ""2-4"": 24.6, "">4"": 48.8}",203
GT,204,79.4,15.3,4.41,13.23,-2.16,"{""<=1"": 15.8, ""1-2"": 12.3, ""2-4"": 18.2, "">4"": 53.7}",203
HK,202,81.7,11.9,4.39,10.1,0.94,"{""<=1"": 11.9, ""1-2"": 7.4, ""2-4"": 21.3, "">4"": 59.4}",202
HU,130,80.8,,,10.66,5.25,null,0
ID,445,85.2,5.4,6.05,10.36,0.38,"{""<=1"": 5.4, ""1-2"": 10.8, ""2-4"": 23.2, "">4"": 60.6}",203
IL,164,73.2,,,14.8,-3.42,null,0
IN,203,83.7,14.3,4.25,10.94,-3.39,"{""<=1"": 14.3, ""1-2"": 9.9, ""2-4"": 22.2, "">4"": 53.7}",203
IQ,197,82.7,14.7,3.29,11.34,0.5,"{""<=1"": 14.7, ""1-2"": 13.2, ""2-4"": 29.4, "">4"": 42.6}",197
IR,200,81.5,10.0,4.08,11.51,-0.1,"{""<=1"": 10.0, ""1-2"": 17.0, ""2-4"": 22.0, "">4"": 51.0}",200
IT,241,83.8,,,9.73,1.49,null,0
JO,426,83.8,13.9,3.51,11.21,4.4,"{""<=1"": 13.9, ""1-2"": 16.9, ""2-4"": 22.9, "">4"": 46.3}",201
JP,439,80.6,13.4,4.4,12.25,1.52,"{""<=1"": 13.4, ""1-2"": 9.4, ""2-4"": 23.3, "">4"": 54.0}",202
KE,438,83.8,14.3,3.88,10.62,-1.14,"{""<=1"": 14.3, ""1-2"": 12.8, ""2-4"": 24.1, "">4"": 48.8}",203
KG,200,88.0,16.0,3.42,9.17,-1.88,"{""<=1"": 16.0, ""1-2"": 14.5, ""2-4"": 25.0, "">4"": 44.5}",200
KR,424,81.8,16.3,4.3,11.73,-1.94,"{""<=1"": 16.3, ""1-2"": 11.8, ""2-4"": 19.7, "">4"": 52.2}",203
KW,60,75.0,,,13.6,-3.04,null,0
KZ,201,82.1,14.9,3.14,9.87,-2.07,"{""<=1"": 14.9, ""1-2"": 19.9, ""2-4"": 24.4, "">4"": 40.8}",201
LB,423,79.2,15.3,4.14,13.02,3.2,"{""<=1"": 15.3, ""1-2"": 14.9, ""2-4"": 17.3, "">4"": 52.5}",202
LT,69,92.8,,,9.49,-0.43,null,0
LY,203,82.8,9.4,4.61,13.03,-3.18,"{""<=1"": 9.4, ""1-2"": 8.4, ""2-4"": 25.1, "">4"": 57.1}",203
MA,254,84.6,12.3,2.95,9.87,-2.47,"{""<=1"": 12.3, ""1-2"": 20.2, ""2-4"": 32.0, "">4"": 35.5}",203
ML,51,86.3,,,11.01,0.16,null,0
MM,199,84.4,11.1,5.01,13.48,-2.26,"{""<=1"": 11.1, ""1-2"": 14.1, ""2-4"": 16.1, "">4"": 58.8}",199
MN,203,76.4,7.4,5.27,14.04,0.93,"{""<=1"": 7.4, ""1-2"": 11.8, ""2-4"": 20.2, "">4"": 60.6}",203
