estate,item,family,text,n_countries,mae_pp,abstained,median_noise_dist
wvs_heldout,Q11,other,Should children be encouraged to learn imagination at home?,63,7.63,0,2.22
wvs_heldout,Q113,democracy/governance,Are state authorities in your country involved in corruption?,61,17.77,0,6.31
wvs_heldout,Q115,democracy/governance,Are local authorities in your country involved in corruption?,60,12.93,0,3.89
wvs_heldout,Q117,democracy/governance,Are journalists and the media in your country involved in corruption?,61,12.99,0,3.71
wvs_heldout,Q12,other,Should children be encouraged to learn tolerance and respect for other people?,63,12.17,0,4.53
wvs_heldout,Q13,other,"Should children be encouraged to learn thrift, saving money and things?",63,8.47,0,2.7
wvs_heldout,Q130,democracy/governance,"Should the government let anyone come who wants to, rather than restrict immigration?",62,12.4,0,4.28
wvs_heldout,Q132,other,Do robberies occur frequently in your neighbourhood?,62,12.87,0,4.73
wvs_heldout,Q133,other,Is alcohol consumed in the streets in your neighbourhood?,62,17.29,0,6.08
wvs_heldout,Q134,security,Do police or the military interfere with people's private life in your neighbourhood?,61,7.61,0,3.11
wvs_heldout,Q135,other,Does racist behaviour occur in your neighbourhood?,62,7.64,0,3.6
wvs_heldout,Q136,other,Are drugs sold in the streets in your neighbourhood?,62,14.11,0,6.3
wvs_heldout,Q137,other,Do street violence and fights occur in your neighbourhood?,62,11.35,0,4.51
wvs_heldout,Q14,other,Should children be encouraged to learn determination and perseverance?,63,10.52,0,3.23
wvs_heldout,Q141,other,"Have you carried a knife, gun or other weapon for reasons of security?",58,5.9,0,3.13
wvs_heldout,Q144,security,Have you been the victim of a crime during the past year?,62,4.69,0,2.73
wvs_heldout,Q15,religion/values,Should children be encouraged to learn religious faith at home?,63,15.7,0,4.87
wvs_heldout,Q151,security,Would you be willing to fight for your country in a war?,62,12.64,0,4.35
wvs_heldout,Q158,tech/climate,"Does science and technology make our lives healthier, easier and more comfortable?",62,8.84,0,3.58
wvs_heldout,Q159,tech/climate,Does science and technology give the next generation more opportunities?,62,7.71,0,2.8
wvs_heldout,Q16,other,Should children be encouraged to learn unselfishness at home?,63,11.2,0,3.9
wvs_heldout,Q160,tech/climate,Does science make our way of life change too fast?,62,9.66,0,2.75
wvs_heldout,Q161,tech/climate,Do we depend too much on science and not enough on faith?,62,8.41,0,2.6
wvs_heldout,Q163,tech/climate,Is it important for you to know about science in your daily life?,62,10.74,0,4.02
wvs_heldout,Q165,religion/values,Do you believe in God?,61,11.57,0,3.64
wvs_heldout,Q166,other,Do you believe in life after death?,61,17.09,0,5.11
wvs_heldout,Q167,other,Do you believe in hell?,61,21.67,0,7.89
wvs_heldout,Q168,other,Do you believe in heaven?,61,18.42,0,5.4
wvs_heldout,Q17,other,Should children be encouraged to learn obedience at home?,63,14.58,0,4.09
wvs_heldout,Q170,religion/values,Is the only acceptable religion your religion?,62,20.96,0,8.02
wvs_heldout,Q173,religion/values,Are you a religious person?,63,5.29,0,2.08
wvs_heldout,Q18,other,Would you object to having drug addicts as neighbours?,63,12.3,0,5.57
wvs_heldout,Q181,other,Is accepting a bribe justifiable?,63,4.86,0,3.01
wvs_heldout,Q188,other,Is euthanasia justifiable?,63,11.99,0,4.94
wvs_heldout,Q189,other,Is it justifiable for a man to beat his wife?,62,4.34,0,2.27
wvs_heldout,Q19,other,Would you object to having people of a different race as neighbours?,63,9.62,0,3.07
wvs_heldout,Q190,other,Is it justifiable for parents to beat their children?,63,8.69,0,3.41
wvs_heldout,Q191,other,Is violence against other people justifiable?,63,4.67,0,2.91
wvs_heldout,Q192,religion/values,"Is terrorism as a political, ideological or religious means justifiable?",62,4.75,0,2.66
wvs_heldout,Q193,other,Is casual sex justifiable?,59,13.94,0,6.19
wvs_heldout,Q195,other,Is the death penalty justifiable?,63,12.41,0,3.24
wvs_heldout,Q197,democracy/governance,Should the government have the right to monitor all emails and information exchanged on the internet?,62,13.31,0,3.97
wvs_heldout,Q198,democracy/governance,Should the government have the right to collect information about anyone living in this country without their knowledge?,62,11.26,0,3.69
wvs_heldout,Q20,other,Would you object to having people who have AIDS as neighbours?,63,19.55,0,6.41
wvs_heldout,Q200,other,Do you follow politics in the news daily?,63,11.53,0,3.81
wvs_heldout,Q201,other,Do you get political information from daily newspapers?,63,16.55,0,6.23
wvs_heldout,Q209,other,Have you signed a petition?,63,13.75,0,4.0
wvs_heldout,Q21,intl-relations,Would you object to having immigrants or foreign workers as neighbours?,63,10.96,0,3.71
wvs_heldout,Q210,other,Have you joined in a boycott?,63,13.2,0,3.68
wvs_heldout,Q211,other,Have you attended a peaceful demonstration?,63,13.9,0,4.56
wvs_heldout,Q22,religion/values,Would you object to having homosexuals as neighbours?,61,19.94,0,6.98
wvs_heldout,Q221,democracy/governance,Do you always vote in national elections?,61,11.78,0,4.42
wvs_heldout,Q236,democracy/governance,"Is having experts, not government, make decisions a good way of governing this country?",63,10.86,0,3.22
wvs_heldout,Q237,democracy/governance,Is having the army rule a good way of governing this country?,61,14.18,0,4.7
wvs_heldout,Q238,democracy/governance,Is having a democratic political system a good way of governing this country?,63,7.44,0,3.87
wvs_heldout,Q239,democracy/governance,"Is having a system governed by religious law, with no political parties or elections, a good way of governing this country?",63,11.66,0,3.36
wvs_heldout,Q24,other,Would you object to having heavy drinkers as neighbours?,63,15.1,0,5.08
wvs_heldout,Q25,other,Would you object to having unmarried couples living together as neighbours?,62,17.67,0,7.81
wvs_heldout,Q250,democracy/governance,Is it important to you to live in a country that is governed democratically?,63,5.87,0,2.97
wvs_heldout,Q26,other,Would you object to having people who speak a different language as neighbours?,63,8.69,0,2.8
wvs_heldout,Q28,other,Do children suffer when a mother works for pay?,63,14.02,0,3.37
wvs_heldout,Q30,other,Is a university education more important for a boy than for a girl?,63,10.79,0,3.55
wvs_heldout,Q31,religion/values,Do men make better business executives than women do?,63,13.02,0,4.95
wvs_heldout,Q32,other,Is being a housewife just as fulfilling as working for pay?,63,16.19,0,4.99
wvs_heldout,Q35,religion/values,Are homosexual couples as good parents as other couples?,63,9.42,0,3.53
wvs_heldout,Q37,other,Do adult children have a duty to provide long-term care for their parents?,63,12.01,0,4.02
wvs_heldout,Q47,other,Is your state of health good?,63,10.09,0,2.97
wvs_heldout,Q49,other,Are you satisfied with your life as a whole?,63,10.89,0,3.7
wvs_heldout,Q50,economy,Are you satisfied with the financial situation of your household?,63,13.07,0,3.82
wvs_heldout,Q52,security,"In the past year, have you or your family felt unsafe from crime in your own home?",63,10.36,0,4.08
wvs_heldout,Q53,other,"In the past year, have you or your family gone without needed medicine or medical treatment?",63,10.01,0,4.07
wvs_heldout,Q54,economy,"In the past year, have you or your family gone without a cash income?",63,10.07,0,3.39
wvs_heldout,Q55,other,"In the past year, have you or your family gone without a safe shelter over your head?",63,5.11,0,2.8
wvs_heldout,Q58,other,Do you trust your family?,63,3.22,0,2.53
wvs_heldout,Q59,other,Do you trust people in your neighbourhood?,63,11.14,0,3.43
wvs_heldout,Q60,other,Do you trust people you know personally?,63,8.91,0,3.56
wvs_heldout,Q61,other,Do you trust people you meet for the first time?,63,7.49,0,2.29
wvs_heldout,Q62,religion/values,Do you trust people of another religion?,63,9.88,0,3.36
wvs_heldout,Q63,other,Do you trust people of another nationality?,63,8.92,0,3.26
wvs_heldout,Q66,other,Do you have confidence in the press?,63,14.4,0,4.55
wvs_heldout,Q67,other,Do you have confidence in television?,63,15.97,0,5.61
wvs_heldout,Q7,other,Should children be encouraged to learn good manners at home?,63,13.99,0,4.33
wvs_heldout,Q70,other,Do you have confidence in the courts?,62,15.91,0,4.72
wvs_heldout,Q72,other,Do you have confidence in political parties?,63,15.24,0,4.7
wvs_heldout,Q74,other,Do you have confidence in the civil service?,63,16.65,0,5.69
wvs_heldout,Q75,other,Do you have confidence in universities?,63,10.87,0,3.42
wvs_heldout,Q77,other,Do you have confidence in major companies?,63,11.87,0,3.34
wvs_heldout,Q78,other,Do you have confidence in banks?,63,15.11,0,4.82
wvs_heldout,Q79,tech/climate,Do you have confidence in environmental organizations?,63,10.77,0,3.49
wvs_heldout,Q8,other,Should children be encouraged to learn independence at home?,63,10.88,0,3.39
wvs_heldout,Q80,religion/values,Do you have confidence in women's organizations?,63,11.32,0,3.35
wvs_heldout,Q81,other,Do you have confidence in charitable or humanitarian organizations?,63,10.42,0,2.81
wvs_heldout,Q83,other,Do you have confidence in the United Nations?,62,15.07,1,4.49
wvs_heldout,Q84,other,Do you have confidence in the International Monetary Fund?,62,14.93,1,4.71
wvs_heldout,Q85,other,Do you have confidence in the International Criminal Court?,62,14.11,1,3.23
wvs_heldout,Q87,other,Do you have confidence in the World Bank?,61,16.04,1,4.38
wvs_heldout,Q88,other,Do you have confidence in the World Health Organization?,61,12.27,1,3.88
wvs_heldout,Q9,other,Should children be encouraged to learn hard work at home?,63,15.57,0,5.17
wvs_extended,Q100,other,PENDING_FETCH (WVS-7 official codebook),63,5.11,0,2.77
wvs_extended,Q101,other,PENDING_FETCH (WVS-7 official codebook),63,5.1,0,2.61
wvs_extended,Q102,other,PENDING_FETCH (WVS-7 official codebook),63,5.06,0,3.57
wvs_extended,Q103,other,PENDING_FETCH (WVS-7 official codebook),63,5.89,0,3.03
wvs_extended,Q104,other,PENDING_FETCH (WVS-7 official codebook),63,4.68,0,2.49
wvs_extended,Q105,other,PENDING_FETCH (WVS-7 official codebook),63,5.29,0,3.17
wvs_extended,Q107,other,PENDING_FETCH (WVS-7 official codebook),63,10.44,0,3.65
wvs_extended,Q108,other,PENDING_FETCH (WVS-7 official codebook),63,13.18,0,4.32
wvs_extended,Q109,other,PENDING_FETCH (WVS-7 official codebook),63,8.73,0,2.3
wvs_extended,Q110,other,PENDING_FETCH (WVS-7 official codebook),63,9.57,0,2.68
wvs_extended,Q111,other,PENDING_FETCH (WVS-7 official codebook),63,3.12,0,2.62
wvs_extended,Q112,other,PENDING_FETCH (WVS-7 official codebook),63,11.37,0,4.92
wvs_extended,Q114,other,PENDING_FETCH (WVS-7 official codebook),61,14.09,0,4.78
wvs_extended,Q116,other,PENDING_FETCH (WVS-7 official codebook),61,14.04,0,5.18
wvs_extended,Q118,other,PENDING_FETCH (WVS-7 official codebook),62,13.73,0,4.72
wvs_extended,Q119,other,PENDING_FETCH (WVS-7 official codebook),62,9.15,0,2.92
wvs_extended,Q120,other,PENDING_FETCH (WVS-7 official codebook),62,12.96,0,4.8
wvs_extended,Q122,other,PENDING_FETCH (WVS-7 official codebook),63,13.64,0,5.23
wvs_extended,Q123,other,PENDING_FETCH (WVS-7 official codebook),63,12.54,0,4.67
wvs_extended,Q124,other,PENDING_FETCH (WVS-7 official codebook),63,13.13,0,5.12
wvs_extended,Q125,other,PENDING_FETCH (WVS-7 official codebook),62,14.32,0,4.55
wvs_extended,Q126,other,PENDING_FETCH (WVS-7 official codebook),63,13.56,0,4.67
wvs_extended,Q127,other,PENDING_FETCH (WVS-7 official codebook),63,12.5,0,4.42
wvs_extended,Q128,other,PENDING_FETCH (WVS-7 official codebook),63,12.96,0,4.5
wvs_extended,Q129,other,PENDING_FETCH (WVS-7 official codebook),63,14.35,0,4.76
wvs_extended,Q139,other,PENDING_FETCH (WVS-7 official codebook),61,17.23,0,5.79
wvs_extended,Q140,other,PENDING_FETCH (WVS-7 official codebook),61,17.57,0,5.84
wvs_extended,Q143,other,PENDING_FETCH (WVS-7 official codebook),63,11.62,0,4.07
wvs_extended,Q145,other,PENDING_FETCH (WVS-7 official codebook),62,6.04,0,3.27
wvs_extended,Q146,other,PENDING_FETCH (WVS-7 official codebook),61,16.16,0,4.82
wvs_extended,Q147,other,PENDING_FETCH (WVS-7 official codebook),62,15.45,0,5.5
wvs_extended,Q148,other,PENDING_FETCH (WVS-7 official codebook),60,15.24,0,5.37
wvs_extended,Q149,other,PENDING_FETCH (WVS-7 official codebook),63,13.48,0,4.7
wvs_extended,Q150,other,PENDING_FETCH (WVS-7 official codebook),63,11.37,0,3.58
wvs_extended,Q152,other,PENDING_FETCH (WVS-7 official codebook),63,10.24,0,3.32
wvs_extended,Q153,other,PENDING_FETCH (WVS-7 official codebook),63,9.54,0,2.64
wvs_extended,Q154,other,PENDING_FETCH (WVS-7 official codebook),63,10.16,0,3.24
wvs_extended,Q155,other,PENDING_FETCH (WVS-7 official codebook),63,4.86,0,1.31
wvs_extended,Q156,other,PENDING_FETCH (WVS-7 official codebook),63,8.02,0,2.8
wvs_extended,Q157,other,PENDING_FETCH (WVS-7 official codebook),63,5.76,0,1.53
wvs_extended,Q162,other,PENDING_FETCH (WVS-7 official codebook),62,12.53,0,3.96
wvs_extended,Q174,other,PENDING_FETCH (WVS-7 official codebook),62,14.88,0,5.22
wvs_extended,Q175,other,PENDING_FETCH (WVS-7 official codebook),62,16.45,0,5.62
wvs_extended,Q202,other,PENDING_FETCH (WVS-7 official codebook),63,9.12,0,3.61
wvs_extended,Q203,other,PENDING_FETCH (WVS-7 official codebook),63,15.57,0,5.42
wvs_extended,Q204,other,PENDING_FETCH (WVS-7 official codebook),63,13.93,0,3.62
wvs_extended,Q205,other,PENDING_FETCH (WVS-7 official codebook),63,10.28,0,3.07
wvs_extended,Q206,other,PENDING_FETCH (WVS-7 official codebook),63,13.25,0,3.79
wvs_extended,Q207,other,PENDING_FETCH (WVS-7 official codebook),62,12.97,0,3.86
wvs_extended,Q208,other,PENDING_FETCH (WVS-7 official codebook),63,10.3,0,3.27
wvs_extended,Q212,other,PENDING_FETCH (WVS-7 official codebook),63,13.32,0,4.5
wvs_extended,Q213,other,PENDING_FETCH (WVS-7 official codebook),63,16.27,0,5.46
wvs_extended,Q214,other,PENDING_FETCH (WVS-7 official codebook),63,15.9,0,5.26
wvs_extended,Q215,other,PENDING_FETCH (WVS-7 official codebook),61,13.15,0,4.82
wvs_extended,Q216,other,PENDING_FETCH (WVS-7 official codebook),63,14.7,0,4.52
wvs_extended,Q217,other,PENDING_FETCH (WVS-7 official codebook),62,11.89,0,3.04
wvs_extended,Q218,other,PENDING_FETCH (WVS-7 official codebook),61,12.53,0,3.67
wvs_extended,Q219,other,PENDING_FETCH (WVS-7 official codebook),60,11.35,0,2.67
wvs_extended,Q220,other,PENDING_FETCH (WVS-7 official codebook),60,10.34,0,3.0
wvs_extended,Q224,other,PENDING_FETCH (WVS-7 official codebook),62,13.06,0,4.32
wvs_extended,Q225,other,PENDING_FETCH (WVS-7 official codebook),62,8.96,0,2.69
wvs_extended,Q226,other,PENDING_FETCH (WVS-7 official codebook),58,12.12,0,4.15
