item,family,n_countries,earth1_mae_pp,mrsp_mae_pp,naive_mae_pp,region_mae_pp,best,e1_minus_region_pp,beats_region,beats_all,text
Q100,other,63,5.11,4.7,5.03,5.12,mrsp,-0.01,True,False,PENDING_FETCH (WVS-7 official codebook)
Q101,other,63,5.1,4.91,4.94,5.14,mrsp,-0.04,True,False,PENDING_FETCH (WVS-7 official codebook)
Q102,other,63,5.06,4.47,4.7,5.11,mrsp,-0.05,True,False,PENDING_FETCH (WVS-7 official codebook)
Q103,other,63,5.89,4.79,5.15,5.04,mrsp,0.85,False,False,PENDING_FETCH (WVS-7 official codebook)
Q104,other,63,4.68,3.83,4.56,4.47,mrsp,0.21,False,False,PENDING_FETCH (WVS-7 official codebook)
Q105,other,63,5.29,4.36,4.07,4.43,naive,0.87,False,False,PENDING_FETCH (WVS-7 official codebook)
Q107,other,63,10.44,9.0,10.23,9.61,mrsp,0.83,False,False,PENDING_FETCH (WVS-7 official codebook)
Q108,other,63,13.18,10.72,10.02,9.11,region,4.07,False,False,PENDING_FETCH (WVS-7 official codebook)
Q109,other,63,8.73,8.34,8.58,8.64,mrsp,0.09,False,False,PENDING_FETCH (WVS-7 official codebook)
Q110,other,63,9.57,8.9,8.78,9.51,naive,0.06,False,False,PENDING_FETCH (WVS-7 official codebook)
Q111,other,63,3.12,2.58,2.49,2.57,naive,0.54,False,False,PENDING_FETCH (WVS-7 official codebook)
Q112,other,63,11.37,10.3,12.02,10.35,mrsp,1.02,False,False,PENDING_FETCH (WVS-7 official codebook)
Q114,other,61,14.09,13.38,14.11,12.66,region,1.43,False,False,PENDING_FETCH (WVS-7 official codebook)
Q116,other,61,14.04,15.22,17.4,14.56,earth1,-0.52,True,True,PENDING_FETCH (WVS-7 official codebook)
Q118,other,62,13.73,13.54,14.77,13.79,mrsp,-0.06,True,False,PENDING_FETCH (WVS-7 official codebook)
Q119,other,62,9.15,8.69,11.8,7.88,region,1.27,False,False,PENDING_FETCH (WVS-7 official codebook)
Q120,other,62,12.96,13.15,13.07,11.76,region,1.2,False,False,PENDING_FETCH (WVS-7 official codebook)
Q122,other,63,13.64,11.89,9.89,9.76,region,3.87,False,False,PENDING_FETCH (WVS-7 official codebook)
Q123,other,63,12.54,11.03,9.72,10.07,naive,2.46,False,False,PENDING_FETCH (WVS-7 official codebook)
Q124,other,63,13.13,11.94,10.7,9.94,region,3.19,False,False,PENDING_FETCH (WVS-7 official codebook)
Q125,other,62,14.32,11.81,10.01,9.9,region,4.42,False,False,PENDING_FETCH (WVS-7 official codebook)
Q126,other,63,13.56,11.82,10.45,9.77,region,3.8,False,False,PENDING_FETCH (WVS-7 official codebook)
Q127,other,63,12.5,11.36,9.85,10.32,naive,2.18,False,False,PENDING_FETCH (WVS-7 official codebook)
Q128,other,63,12.96,12.02,11.12,10.29,region,2.67,False,False,PENDING_FETCH (WVS-7 official codebook)
Q129,other,63,14.35,12.94,11.41,10.92,region,3.43,False,False,PENDING_FETCH (WVS-7 official codebook)
Q139,other,61,17.23,13.13,13.15,11.79,region,5.45,False,False,PENDING_FETCH (WVS-7 official codebook)
Q140,other,61,17.57,13.91,14.45,11.62,region,5.95,False,False,PENDING_FETCH (WVS-7 official codebook)
Q143,other,63,11.62,11.52,17.15,10.99,region,0.64,False,False,PENDING_FETCH (WVS-7 official codebook)
Q145,other,62,6.04,5.99,7.4,4.04,region,2.0,False,False,PENDING_FETCH (WVS-7 official codebook)
Q146,other,61,16.16,14.83,17.01,15.7,mrsp,0.47,False,False,PENDING_FETCH (WVS-7 official codebook)
Q147,other,62,15.45,14.01,16.44,14.81,mrsp,0.64,False,False,PENDING_FETCH (WVS-7 official codebook)
Q148,other,60,15.24,14.3,22.01,13.24,region,2.0,False,False,PENDING_FETCH (WVS-7 official codebook)
Q149,other,63,13.48,10.61,12.32,8.83,region,4.64,False,False,PENDING_FETCH (WVS-7 official codebook)
Q150,other,63,11.37,10.61,10.52,8.91,region,2.46,False,False,PENDING_FETCH (WVS-7 official codebook)
Q152,other,63,10.24,9.43,9.46,9.06,region,1.18,False,False,PENDING_FETCH (WVS-7 official codebook)
Q153,other,63,9.54,10.01,9.22,9.81,naive,-0.27,True,False,PENDING_FETCH (WVS-7 official codebook)
Q154,other,63,10.16,8.01,8.14,8.57,mrsp,1.58,False,False,PENDING_FETCH (WVS-7 official codebook)
Q155,other,63,4.86,4.86,4.52,4.99,naive,-0.14,True,False,PENDING_FETCH (WVS-7 official codebook)
Q156,other,63,8.02,6.69,6.72,6.83,mrsp,1.19,False,False,PENDING_FETCH (WVS-7 official codebook)
Q157,other,63,5.76,5.26,5.1,5.26,naive,0.5,False,False,PENDING_FETCH (WVS-7 official codebook)
Q162,other,62,12.53,11.54,10.96,9.11,region,3.42,False,False,PENDING_FETCH (WVS-7 official codebook)
Q174,other,62,14.88,12.57,12.94,11.68,region,3.21,False,False,PENDING_FETCH (WVS-7 official codebook)
Q175,other,62,16.45,14.1,15.59,10.14,region,6.32,False,False,PENDING_FETCH (WVS-7 official codebook)
Q202,other,63,9.12,8.04,8.77,7.8,region,1.32,False,False,PENDING_FETCH (WVS-7 official codebook)
Q203,other,63,15.57,14.46,15.84,10.45,region,5.11,False,False,PENDING_FETCH (WVS-7 official codebook)
Q204,other,63,13.93,13.47,12.8,13.86,naive,0.07,False,False,PENDING_FETCH (WVS-7 official codebook)
Q205,other,63,10.28,10.21,11.82,11.18,mrsp,-0.9,True,False,PENDING_FETCH (WVS-7 official codebook)
Q206,other,63,13.25,13.63,15.36,14.92,earth1,-1.67,True,True,PENDING_FETCH (WVS-7 official codebook)
Q207,other,62,12.97,12.81,12.89,13.99,mrsp,-1.02,True,False,PENDING_FETCH (WVS-7 official codebook)
Q208,other,63,10.3,8.98,8.6,9.06,naive,1.24,False,False,PENDING_FETCH (WVS-7 official codebook)
Q212,other,63,13.32,13.21,15.39,10.76,region,2.56,False,False,PENDING_FETCH (WVS-7 official codebook)
Q213,other,63,16.27,14.13,15.25,12.72,region,3.56,False,False,PENDING_FETCH (WVS-7 official codebook)
Q214,other,63,15.9,16.25,15.29,13.48,region,2.43,False,False,PENDING_FETCH (WVS-7 official codebook)
Q215,other,61,13.15,15.72,14.88,13.34,earth1,-0.18,True,True,PENDING_FETCH (WVS-7 official codebook)
Q216,other,63,14.7,16.73,16.6,13.52,region,1.18,False,False,PENDING_FETCH (WVS-7 official codebook)
Q217,other,62,11.89,12.63,13.26,12.32,earth1,-0.42,True,True,PENDING_FETCH (WVS-7 official codebook)
Q218,other,61,12.53,15.05,16.07,12.48,region,0.04,False,False,PENDING_FETCH (WVS-7 official codebook)
Q219,other,60,11.35,13.4,12.79,11.42,earth1,-0.07,True,True,PENDING_FETCH (WVS-7 official codebook)
Q220,other,60,10.34,10.14,9.5,9.4,region,0.94,False,False,PENDING_FETCH (WVS-7 official codebook)
Q224,other,62,13.06,14.08,18.04,12.63,region,0.43,False,False,PENDING_FETCH (WVS-7 official codebook)
Q225,other,62,8.96,8.16,10.59,7.87,region,1.09,False,False,PENDING_FETCH (WVS-7 official codebook)
Q226,other,58,12.12,9.39,10.0,10.47,mrsp,1.64,False,False,PENDING_FETCH (WVS-7 official codebook)
Q227,other,62,17.78,16.2,19.44,16.93,mrsp,0.85,False,False,PENDING_FETCH (WVS-7 official codebook)
Q228,other,62,10.31,8.69,8.36,9.69,naive,0.62,False,False,PENDING_FETCH (WVS-7 official codebook)
Q229,other,62,12.02,12.75,15.73,12.17,earth1,-0.15,True,True,PENDING_FETCH (WVS-7 official codebook)
Q230,other,62,17.96,15.45,18.34,17.15,mrsp,0.81,False,False,PENDING_FETCH (WVS-7 official codebook)
Q231,other,62,12.29,10.46,15.16,10.91,mrsp,1.37,False,False,PENDING_FETCH (WVS-7 official codebook)
Q232,other,62,9.04,8.55,10.06,8.99,mrsp,0.05,False,False,PENDING_FETCH (WVS-7 official codebook)
Q233,other,62,10.55,8.3,8.89,7.99,region,2.56,False,False,PENDING_FETCH (WVS-7 official codebook)
Q234,other,62,7.02,5.78,5.72,5.54,region,1.48,False,False,PENDING_FETCH (WVS-7 official codebook)
Q241,other,63,11.42,11.21,11.55,10.39,region,1.03,False,False,PENDING_FETCH (WVS-7 official codebook)
Q242,other,63,10.11,10.58,13.32,9.83,region,0.29,False,False,PENDING_FETCH (WVS-7 official codebook)
Q243,other,63,8.9,7.53,7.76,8.34,mrsp,0.56,False,False,PENDING_FETCH (WVS-7 official codebook)
Q244,other,63,11.29,10.73,11.72,11.27,mrsp,0.02,False,False,PENDING_FETCH (WVS-7 official codebook)
Q245,other,61,11.62,9.76,13.71,9.17,region,2.46,False,False,PENDING_FETCH (WVS-7 official codebook)
Q246,other,63,9.73,9.13,9.96,9.98,mrsp,-0.25,True,False,PENDING_FETCH (WVS-7 official codebook)
Q247,other,63,11.19,11.53,12.28,11.02,region,0.17,False,False,PENDING_FETCH (WVS-7 official codebook)
Q248,other,63,14.72,11.85,15.07,12.26,mrsp,2.46,False,False,PENDING_FETCH (WVS-7 official codebook)
Q249,other,63,8.75,7.35,8.81,7.92,mrsp,0.82,False,False,PENDING_FETCH (WVS-7 official codebook)
Q251,other,63,15.53,14.76,15.44,13.89,region,1.64,False,False,PENDING_FETCH (WVS-7 official codebook)
Q252,other,62,16.32,15.79,15.88,15.33,region,0.99,False,False,PENDING_FETCH (WVS-7 official codebook)
Q253,other,63,16.37,15.75,17.76,12.68,region,3.69,False,False,PENDING_FETCH (WVS-7 official codebook)
Q255,other,62,4.41,4.35,4.48,3.42,region,0.99,False,False,PENDING_FETCH (WVS-7 official codebook)
Q256,other,61,7.44,6.43,6.63,6.73,mrsp,0.72,False,False,PENDING_FETCH (WVS-7 official codebook)
Q257,other,63,8.01,6.5,6.82,7.07,mrsp,0.94,False,False,PENDING_FETCH (WVS-7 official codebook)
Q258,other,63,15.44,13.38,14.09,13.33,region,2.11,False,False,PENDING_FETCH (WVS-7 official codebook)
Q259,other,63,12.93,11.44,12.82,11.4,region,1.53,False,False,PENDING_FETCH (WVS-7 official codebook)
