qcode,country,age_bucket,yes_weighted,n_weighted
Q57,COL,45_59,0.03399,353.0
Q57,CYP,30_44,0.05690,244.0
Q57,TJK,30_44,0.19771,349.0
Q57,USA,18_29,0.33069,547.5
Q57,CZE,30_44,0.42802,350.0
Q57,ECU,18_29,0.07179,390.0
Q57,IND,30_44,0.18826,501.1
Q57,IRN,30_44,0.14505,586.0
Q57,RUS,30_44,0.23511,498.3
Q57,SRB,60_plus,0.12454,273.0
Q57,SVK,30_44,0.23580,340.9
Q57,THA,30_44,0.33440,407.2
Q57,JOR,30_44,0.13613,382.0
Q57,KOR,30_44,0.32372,312.0
Q57,MDV,30_44,0.25450,389.0
Q57,COL,60_plus,0.04712,191.0
Q57,TWN,18_29,0.29316,236.4
Q57,DEU,18_29,0.44167,240.0
Q57,GBR,30_44,0.42513,636.1
Q57,PRI,30_44,0.21862,247.0
Q57,SRB,45_59,0.14113,248.0
Q57,IRQ,18_29,0.11816,457.0
Q57,LBY,30_44,0.09198,424.0
Q57,MEX,18_29,0.11668,495.4
Q57,MMR,18_29,0.15951,326.0
Q57,BOL,30_44,0.07581,620.0
Q57,COL,18_29,0.04472,559.0
Q57,TWN,60_plus,0.32973,291.5
Q57,USA,45_59,0.35501,704.1
Q57,DEU,60_plus,0.43713,501.0
Q57,ECU,45_59,0.06224,241.0
Q57,EGY,30_44,0.07094,437.0
Q57,NZL,60_plus,0.60200,500.0
Q57,KAZ,30_44,0.23007,439.0
Q57,KEN,18_29,0.09599,698.0
Q57,MEX,60_plus,0.10617,297.1
Q57,AND,18_29,0.28481,158.0
Q57,CYP,60_plus,0.07998,284.0
Q57,TJK,60_plus,0.16456,158.0
Q57,CZE,60_plus,0.30900,357.2
Q57,ETH,18_29,0.12620,626.0
Q57,GBR,45_59,0.48070,607.0
Q57,IND,60_plus,0.12240,214.1
Q57,IRN,60_plus,0.21384,159.0
Q57,PER,18_29,0.04833,406.3
Q57,PRI,45_59,0.18868,265.0
Q57,RUS,60_plus,0.21245,420.6
Q57,SRB,30_44,0.14801,277.0
Q57,SVK,60_plus,0.19405,348.0
Q57,THA,60_plus,0.29630,268.4
Q57,JOR,60_plus,0.20603,199.0
Q57,KOR,60_plus,0.35971,278.0
Q57,LBY,45_59,0.08247,388.0
Q57,MNG,18_29,0.21716,490.8
Q57,AND,45_59,0.25078,319.0
Q57,BOL,60_plus,0.11787,263.0
Q57,TWN,30_44,0.34086,351.7
Q57,DEU,30_44,0.46048,291.0
Q57,ETH,45_59,0.11688,154.0
Q57,GBR,18_29,0.37977,420.7
Q57,NZL,30_44,0.61006,159.0
Q57,PER,45_59,0.04143,357.8
Q57,PRI,18_29,0.15196,204.0
Q57,IRQ,30_44,0.07105,380.0
Q57,LBY,18_29,0.07971,276.0
Q57,MEX,30_44,0.11306,532.1
Q57,MMR,30_44,0.11765,391.0
Q57,MNG,45_59,0.27721,387.0
Q57,ARG,60_plus,0.17650,226.6
Q57,CHL,60_plus,0.10532,227.4
Q57,CHN,18_29,0.67599,670.6
Q57,TUN,60_plus,0.20379,211.0
Q57,UKR,18_29,0.37681,179.4
Q57,ZWE,30_44,0.01316,380.0
Q57,IDN,60_plus,0.09499,374.0
Q57,NLD,18_29,0.61728,162.0
Q57,PAK,30_44,0.25081,925.0
Q57,PHL,45_59,0.07307,323.7
Q57,ROU,18_29,0.09985,270.6
Q57,SGP,18_29,0.32531,319.9
Q57,MAC,45_59,0.38624,189.0
Q57,ARG,45_59,0.18560,219.5
Q57,ARM,18_29,0.06000,256.9
Q57,AUS,30_44,0.53770,483.9
Q57,BGD,30_44,0.11211,446.0
Q57,BRA,30_44,0.06051,487.9
Q57,CAN,30_44,0.42049,991.8
Q57,CHL,45_59,0.14384,223.6
Q57,TUN,45_59,0.10492,305.0
Q57,UZB,18_29,0.36831,467.0
Q57,VEN,30_44,0.15818,373.0
Q57,GRC,18_29,0.14067,208.9
Q57,GTM,18_29,0.17774,602.0
Q57,IDN,45_59,0.04325,750.0
Q57,NIC,18_29,0.03596,445.0
Q57,PHL,60_plus,0.02963,229.1
Q57,KGZ,30_44,0.13318,408.4
Q57,LBN,30_44,0.10963,374.0
Q57,MYS,30_44,0.21656,471.0
Q57,ARG,30_44,0.20309,255.1
Q57,AUS,45_59,0.51573,432.8
Q57,BGD,45_59,0.14961,254.0
Q57,BRA,45_59,0.05409,424.0
Q57,CAN,45_59,0.44303,1055.1
Q57,CHL,30_44,0.15796,320.2
Q57,TUN,30_44,0.15691,376.0
Q57,VEN,45_59,0.11154,260.0
Q57,ZWE,60_plus,0.03448,174.0
Q57,HKG,18_29,0.44836,351.8
Q57,IDN,30_44,0.03868,1202.5
Q57,NGA,18_29,0.15489,637.5
Q57,KGZ,45_59,0.11487,279.7
Q57,LBN,45_59,0.09459,296.0
Q57,MYS,45_59,0.19764,339.0
Q57,AUS,60_plus,0.49446,476.3
Q57,BRA,60_plus,0.06814,338.2
Q57,CAN,60_plus,0.55869,1217.5
Q57,TUR,18_29,0.15396,695.0
Q57,URY,18_29,0.11970,222.9
Q57,VNM,18_29,0.25272,368.0
Q57,ZWE,45_59,0.01299,231.0
Q57,PAK,45_59,0.20489,327.0
Q57,PHL,30_44,0.04459,382.3
Q57,KGZ,60_plus,0.13710,159.5
Q57,LBN,60_plus,0.10180,167.0
Q57,MAC,30_44,0.47917,192.0
Q57,MAR,18_29,0.16708,407.0
Q57,ARM,30_44,0.07272,371.5
Q57,AUS,18_29,0.39963,386.7
Q57,BGD,18_29,0.14496,407.0
Q57,BRA,18_29,0.08867,412.9
Q57,CAN,18_29,0.41326,753.6
Q57,URY,60_plus,0.14268,282.7
Q57,UZB,30_44,0.32589,448.0
Q57,VEN,18_29,0.13318,428.0
Q57,GRC,30_44,0.08050,323.0
Q57,GTM,30_44,0.20056,354.0
Q57,HKG,45_59,0.37317,605.3
Q57,NIC,30_44,0.04557,395.0
Q57,JPN,30_44,0.29091,275.0
Q57,KGZ,18_29,0.13198,342.7
Q57,LBN,18_29,0.09091,363.0
Q57,MYS,18_29,0.17422,419.0
Q57,AND,30_44,0.22772,303.0
Q57,TWN,45_59,0.26638,342.7
Q57,USA,60_plus,0.47086,707.2
Q57,DEU,45_59,0.49333,450.0
Q57,ECU,60_plus,0.07059,170.0
Q57,ETH,30_44,0.11750,400.0
Q57,NZL,45_59,0.61597,263.0
Q57,PER,30_44,0.04147,437.8
Q57,SRB,18_29,0.25877,228.0
Q57,IRQ,45_59,0.14286,231.0
Q57,MEX,45_59,0.08038,411.8
Q57,MMR,45_59,0.15909,352.0
Q57,MNG,30_44,0.28664,599.4
Q57,ARM,60_plus,0.10902,300.7
Q57,CHN,45_59,0.59063,937.6
Q57,TUR,30_44,0.14359,780.0
Q57,UKR,45_59,0.28586,315.7
Q57,URY,30_44,0.17863,272.0
Q57,VNM,30_44,0.28879,464.0
Q57,GRC,60_plus,0.07407,363.7
Q57,NLD,45_59,0.58421,570.0
Q57,PHL,18_29,0.06271,262.9
Q57,ROU,45_59,0.09980,303.4
Q57,SGP,45_59,0.38525,579.6
Q57,JPN,60_plus,0.42021,564.0
Q57,MAC,18_29,0.43223,273.0
Q57,MAR,30_44,0.14135,474.0
Q57,BOL,18_29,0.08223,754.0
Q57,COL,30_44,0.05516,417.0
Q57,CYP,45_59,0.05303,229.3
Q57,TJK,45_59,0.19420,345.0
Q57,CZE,45_59,0.30204,265.7
Q57,EGY,18_29,0.06169,308.0
Q57,GBR,60_plus,0.55813,767.9
Q57,IND,45_59,0.20806,321.2
Q57,IRN,45_59,0.17470,332.0
Q57,PRI,60_plus,0.16080,398.0
Q57,RUS,45_59,0.22657,424.8
Q57,SVK,45_59,0.20580,306.3
Q57,THA,45_59,0.32474,433.8
Q57,JOR,45_59,0.17697,356.0
Q57,KAZ,18_29,0.25000,288.0
Q57,KEN,30_44,0.07543,411.0
Q57,KOR,45_59,0.35381,407.0
Q57,MDV,45_59,0.22283,184.0
Q57,AND,60_plus,0.28054,221.0
Q57,BOL,45_59,0.08780,410.0
Q57,CYP,18_29,0.07857,218.9
Q57,TJK,18_29,0.24425,348.0
Q57,USA,30_44,0.31481,626.0
Q57,CZE,18_29,0.46177,218.0
Q57,ECU,30_44,0.03723,376.0
Q57,EGY,45_59,0.07945,365.0
Q57,IND,18_29,0.15374,541.6
Q57,IRN,18_29,0.10740,419.0
Q57,PER,60_plus,0.02908,194.1
Q57,RUS,18_29,0.26850,418.5
Q57,SVK,18_29,0.26094,196.8
Q57,THA,18_29,0.25000,307.0
Q57,JOR,18_29,0.13514,259.0
Q57,KAZ,45_59,0.23295,352.0
Q57,KOR,18_29,0.26210,248.0
Q57,MDV,18_29,0.13960,351.0
Q57,MNG,60_plus,0.25511,156.4
Q57,ARG,18_29,0.23400,255.7
Q57,ARM,45_59,0.09839,292.2
Q57,CHL,18_29,0.10767,206.8
Q57,CHN,60_plus,0.61390,466.4
Q57,TUN,18_29,0.11828,279.0
Q57,UKR,60_plus,0.31528,351.6
Q57,UZB,45_59,0.33178,214.0
Q57,GRC,45_59,0.06495,293.4
Q57,GTM,45_59,0.14428,201.0
Q57,HKG,30_44,0.40032,503.9
Q57,IDN,18_29,0.03886,873.0
Q57,NGA,30_44,0.11621,444.1
Q57,NIC,45_59,0.05830,223.0
Q57,NLD,60_plus,0.65707,799.0
Q57,ROU,60_plus,0.12336,350.2
Q57,SGP,60_plus,0.26781,507.6
Q57,JPN,45_59,0.36741,313.0
Q57,CHN,30_44,0.67594,938.1
Q57,TUR,45_59,0.12621,824.0
Q57,UKR,30_44,0.29146,409.0
Q57,URY,45_59,0.13497,215.9
Q57,VNM,45_59,0.29153,295.0
Q57,ZWE,18_29,0.02588,425.0
Q57,HKG,60_plus,0.27811,585.0
Q57,NLD,30_44,0.56098,410.0
Q57,PAK,18_29,0.23756,623.0
Q57,ROU,30_44,0.13850,300.8
Q57,SGP,30_44,0.38658,591.5
Q57,MAR,45_59,0.16964,224.0
Q65,COL,45_59,0.40510,353.0
Q65,CYP,30_44,0.60909,244.3
Q65,TJK,30_44,0.87273,330.0
Q65,USA,18_29,0.65357,544.0
Q65,CZE,30_44,0.53080,341.8
Q65,ECU,18_29,0.62660,391.0
Q65,IND,30_44,0.87189,497.1
Q65,IRN,30_44,0.91453,585.0
Q65,JOR,30_44,0.93473,383.0
Q65,KOR,30_44,0.50000,312.0
Q65,MDV,30_44,0.73214,392.0
Q65,RUS,30_44,0.73301,486.0
Q65,SRB,60_plus,0.73485,264.0
Q65,SVK,30_44,0.58542,333.7
Q65,THA,30_44,0.64301,393.9
Q65,BOL,45_59,0.30250,400.0
Q65,CYP,18_29,0.50385,219.4
Q65,TJK,18_29,0.89645,338.0
Q65,USA,30_44,0.80586,616.0
Q65,CZE,18_29,0.57595,203.2
Q65,ECU,30_44,0.58684,380.0
Q65,IND,18_29,0.88149,541.0
Q65,IRN,18_29,0.90647,417.0
Q65,JOR,18_29,0.89655,261.0
Q65,KAZ,45_59,0.80392,357.0
Q65,KOR,18_29,0.47177,248.0
Q65,MDV,18_29,0.73011,352.0
Q65,PER,60_plus,0.41993,193.5
Q65,RUS,18_29,0.69808,416.7
Q65,SVK,18_29,0.57309,189.0
Q65,THA,18_29,0.53261,321.0
Q65,ARG,60_plus,0.44829,216.3
Q65,CHL,60_plus,0.56500,230.3
Q65,CHN,18_29,0.92483,673.5
Q65,TUN,60_plus,0.77033,209.0
Q65,UKR,18_29,0.77489,181.3
Q65,ZWE,30_44,0.47493,379.0
Q65,IDN,60_plus,0.94720,361.9
Q65,MAC,45_59,0.72396,192.0
Q65,PAK,30_44,0.92803,931.0
Q65,PHL,45_59,0.75729,325.1
Q65,ROU,18_29,0.63499,258.2
Q65,SGP,18_29,0.79458,321.0
Q65,ARG,45_59,0.35880,218.6
Q65,ARM,18_29,0.70180,252.7
Q65,AUS,30_44,0.81123,482.9
Q65,BGD,30_44,0.89569,441.0
Q65,BRA,30_44,0.59782,480.6
Q65,CAN,30_44,0.68982,991.8
Q65,CHL,45_59,0.46685,231.5
Q65,TUN,45_59,0.72727,308.0
Q65,UZB,18_29,0.93443,488.0
Q65,VEN,30_44,0.20375,373.0
Q65,GRC,18_29,0.73856,205.1
Q65,GTM,18_29,0.24585,602.0
Q65,IDN,45_59,0.89516,745.1
Q65,KGZ,30_44,0.71623,405.8
Q65,LBN,30_44,0.87166,374.0
Q65,MYS,30_44,0.77495,471.0
Q65,NIC,18_29,0.22697,445.0
Q65,PHL,60_plus,0.75732,229.1
Q65,ARM,60_plus,0.75758,298.3
Q65,CHN,45_59,0.96916,940.7
Q65,TUR,30_44,0.86220,791.0
Q65,UKR,45_59,0.72944,305.5
Q65,URY,30_44,0.50988,268.7
Q65,VNM,30_44,0.93407,455.0
Q65,GRC,60_plus,0.92259,367.3
Q65,JPN,60_plus,0.89408,557.0
Q65,MAC,18_29,0.60351,285.0
Q65,MAR,30_44,0.53586,474.0
Q65,NLD,45_59,0.61804,521.0
Q65,PHL,18_29,0.75789,263.5
Q65,ROU,45_59,0.78185,300.5
Q65,SGP,45_59,0.85001,569.2
Q65,ARG,30_44,0.36351,261.6
Q65,AUS,45_59,0.85911,434.4
Q65,BGD,45_59,0.90980,255.0
Q65,BRA,45_59,0.63047,405.8
Q65,CAN,45_59,0.76728,1055.1
Q65,CHL,30_44,0.43564,323.4
Q65,TUN,30_44,0.72021,386.0
Q65,VEN,45_59,0.21154,260.0
Q65,ZWE,60_plus,0.74419,172.0
Q65,HKG,18_29,0.54033,350.8
Q65,IDN,30_44,0.87353,1199.8
Q65,KGZ,45_59,0.71081,275.1
Q65,LBN,45_59,0.90847,295.0
Q65,MYS,45_59,0.65976,338.0
Q65,NGA,18_29,0.54161,638.4
Q65,AUS,60_plus,0.90486,477.0
Q65,BRA,60_plus,0.71979,318.7
Q65,CAN,60_plus,0.85610,1217.5
Q65,TUR,18_29,0.85857,700.0
Q65,URY,18_29,0.48257,222.5
Q65,VNM,18_29,0.93315,359.0
Q65,ZWE,45_59,0.54667,225.0
Q65,KGZ,60_plus,0.76422,158.0
Q65,LBN,60_plus,0.92216,167.0
Q65,MAC,30_44,0.71503,193.0
Q65,MAR,18_29,0.57985,407.0
Q65,PAK,45_59,0.94190,327.0
Q65,PHL,30_44,0.78260,382.3
Q65,CHN,30_44,0.94950,943.7
Q65,TUR,45_59,0.86336,827.0
Q65,UKR,30_44,0.70223,400.0
Q65,URY,45_59,0.57360,207.4
Q65,VNM,45_59,0.93080,289.0
Q65,ZWE,18_29,0.44550,422.0
Q65,HKG,60_plus,0.67626,549.1
Q65,MAR,45_59,0.60268,224.0
Q65,NLD,30_44,0.62842,366.0
Q65,PAK,18_29,0.94847,621.0
Q65,ROU,30_44,0.62427,297.9
Q65,SGP,30_44,0.82388,588.9
Q65,ARM,30_44,0.72534,364.5
Q65,AUS,18_29,0.71332,386.7
Q65,BGD,18_29,0.91155,407.0
Q65,BRA,18_29,0.60744,410.7
Q65,CAN,18_29,0.60155,753.6
Q65,URY,60_plus,0.59813,275.9
Q65,UZB,30_44,0.91630,454.0
Q65,VEN,18_29,0.17523,428.0
Q65,GRC,30_44,0.73732,320.0
Q65,GTM,30_44,0.20056,354.0
Q65,HKG,45_59,0.50776,592.7
Q65,JPN,30_44,0.85985,264.0
Q65,KGZ,18_29,0.67533,339.8
Q65,LBN,18_29,0.89256,363.0
Q65,MYS,18_29,0.82100,419.0
Q65,NIC,30_44,0.18987,395.0
Q65,COL,60_plus,0.39791,191.0
